Time,url
2012-03-06 07:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__07_06_05_385__SOHO_LASCO_C3_white-light.jp2
2012-03-06 07:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__07_18_06_077__SOHO_LASCO_C3_white-light.jp2
2012-03-06 07:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__07_30_05_668__SOHO_LASCO_C3_white-light.jp2
2012-03-06 07:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__07_42_05_460__SOHO_LASCO_C3_white-light.jp2
2012-03-06 07:54:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__07_54_05_552__SOHO_LASCO_C3_white-light.jp2
2012-03-06 08:06:08+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__08_06_07_644__SOHO_LASCO_C3_white-light.jp2
2012-03-06 08:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__08_18_05_621__SOHO_LASCO_C3_white-light.jp2
2012-03-06 08:30:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__08_30_05_427__SOHO_LASCO_C3_white-light.jp2
2012-03-06 08:42:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__08_42_05_418__SOHO_LASCO_C3_white-light.jp2
2012-03-06 09:06:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__09_06_06_502__SOHO_LASCO_C3_white-light.jp2
2012-03-06 09:18:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__09_18_06_594__SOHO_LASCO_C3_white-light.jp2
2012-03-06 09:30:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__09_30_07_196__SOHO_LASCO_C3_white-light.jp2
2012-03-06 09:42:07+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__09_42_06_577__SOHO_LASCO_C3_white-light.jp2
2012-03-06 09:54:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__09_54_05_369__SOHO_LASCO_C3_white-light.jp2
2012-03-06 10:06:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__10_06_05_461__SOHO_LASCO_C3_white-light.jp2
2012-03-06 10:18:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__10_18_06_453__SOHO_LASCO_C3_white-light.jp2
2012-03-06 10:30:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__10_30_06_244__SOHO_LASCO_C3_white-light.jp2
2012-03-06 10:42:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__10_42_05_536__SOHO_LASCO_C3_white-light.jp2
2012-03-06 10:54:09+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__10_54_08_627__SOHO_LASCO_C3_white-light.jp2
2012-03-06 11:06:06+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__11_06_05_519__SOHO_LASCO_C3_white-light.jp2
2012-03-06 11:18:05+00:00,https://helioviewer.org/jp2/LASCO-C2/2012/03/06/white-light/2012_03_06__11_18_05_411__SOHO_LASCO_C3_white-light.jp2
